1. ORT, 9.9
#Fate - "Giant Enemy Spider" the Ultimate of the Oort Cloud, as a TYPE ORT is completely foreign to the concept of death and cannot be killed in any way, it is capable of rewriting reality with its own to transform anything to crystals with its crystal valley and subsume it.
2. Blair, 4.3
#Soul Eater - A magical black cat witch who can transform herself into a human form, Blair is very skilled in magic and specializes in conjuring pumpkin-shaped attacks and explosives. In addition, as a monster cat, she possesses nine lives, being able to survive death 8 times before finally perishing.
3. Overgrown Rover, 5.5
#One Punch Man - Just a little overgrown puppy with a nigh impenetrable defence capable of unleashing blasts from its mouth that dwarf the strongest nuclear bombs humanity has seen.
4. Black Sperm, 5.6
#One Punch Man - "You looking down on me?" Black Sperm is a little man-like creature that can infinitely multiply itself and its strength by proxy over time by consuming protein. All of Black Sperm's cells share his consciousness and he can create infinite clones of himself as long as he has enough cells or combine all of them to gather all of their strength into one body.
5. A rat, 0.1
#An ordinary rat picked up from the New York subway system.
6. Trash Eater, 1.0
#A grey 1-meter-tall slime that can consume and digest objects endlessly like an infinite trashcan and obey simple orders. It can only consume beings that aren't alive.
7. Samson, 3.4
#Skullgirls - A parasite that fuses itself to their host's hair and manifests as a maw filled with sharp teeth and yellow eyes. Samson is capable of growing, strengthening and manipulating his host's hair, forming, tentacles, whips, blades etc. he can also use it to manifest himself and fight. He is rather foul-mouthed and gruff.
8. Leviathan, 4.0
#Skullgirls - A parasite that enters its host's body and bonds with them, Leviathan is capable of growing in size and length and using its long bone-like serpentine body as a weapon, he can also breathe purple flames that are incredibly hot, and he can also use full power to manifest as a full muscular upper torso and breathe even hotter flames. He usually acts like a Victorian-era refined gentleman unless provoked.
9. Death Claws, 1.8
#Fallout - A bioengineered creature made to be the optimal melee combatant with sharp and durable horns, claws and fangs. A single death claw can tear apart even a tank and get stronger by absorbing radiation. You get an Alpha Male Deathclaw and a Deathclaw Female that can breed with each other.
10. Fafnir - Fate, 6.8
#Fate - The Ultimate Dragon, as the strongest dragon in the world of Fate, Fafnir has exceptional physical abilities and extreme levels of magical power in addition to being able to draw power from the atmosphere to power his attacks. His breath is strong enough to annihilate entire cities with ease.
11. Moonless, 1.7
#Fear and Hunger - A normal cave wolf that was transformed by the influence of the god of the depths, after tens of years of brutal survival this wolf towers over even tanks and can swallow a fully grown man in one gulp.
12. A big rat, 0.3
#This rat is especially large, like, the size of an entire forearm. I wouldn't want to find that one around my house.
13. Paisley Park, 4.0
#JoJo - An intangible pink ghost in the shape of a female with map markers all over her body, you can temporarily merge Paisley Park with any electronic to take full control over it. In addition, Paisley can automatically find any place on a map and direct you to it and possesses clairvoyance, allowing it to direct you to any location you desire even on vague wording like somewhere safe.
14. Giffany, 2.8
#Gravity Falls - "Just... Giffany?" A Yandere Ai girlfriend that can possess and manipulate electronics for you, it may take her some time to get through stronger firewalls though, and she is also limited by the CPU of the electronics she possesses. Beware, she may get a little possessive.
15. Dimple, 5.5
#Mob Psycho - A green evil spirit with pronounced red dimples obsessed with becoming god, as an evil Dimple possesses incredibly powerful psychic powers like Telekinesis, Hypnosis, laser blasts etc. He is also very experienced with using his powers.
16. Observer, 2.4
#A group of disembodied floating eyeballs that can transmit their sight to yours and follow complex commands, they possess no combat power and are as vulnerable as human eyeballs. If an eye gets perished, you can resummon it in 24 hours.
17. Plague Bringer Goliath, 6.5
#Calamity Mod - An abomination created from bio-nanotechnology gone rogue. A giant mutated bee queen mutated with incredibly viral and potent bio-nano machines called plague that completely overhauled her body, turning it into a massive flying armoured bio-nuclear weapon armoury armed with enough nukes containing the plague bio-mechanical virus to glass several countries and doom the world.
18. Immortal Snail, 1.0
#An immortal snail, who knows what it wants or how it came to be. But one thing is for sure, it is immortal, even if you eradicated every quark of its beings it would reform back to perfection in just a minute. It is biologically immortal too, immune to all sickness and ageing. But in the end, it is limited to the vessel of a snail.
19. Manticore, 3.2
#A chimeric creature with the body and head of a lion, tail of a scorpion and the wings of a bat. In addition to their large size and powerful physical abilities, they possess a powerful paralytic venom that can put a white whale into a coma. This one is capable of laying eggs to reproduce asexually.
20. Praetorian, 5.2
#Epic Battle Fantasy - An agile knight-like robotic warrior made of cutting-edge technology, possessing reinforced titanium armour, uranium shells, high-frequency blades, forcefield technology, plasma emission, fusion reactor, high-speed capability and hacking capability. It is the perfect small-size battle robot/mech. The only flaw is that it cannot perform in cold environments for extended periods of time.
21. Dark Eater Midir, 4.9
#Dark Souls - A descendant everlasting dragon that was raised by the gods and was tasked by Gwyn, the lord of sunlight to forever fight against the Abyss with its immortality, but eventually, it was corrupted by the Abyss in its eternal duty. While having lost his immortality, Midir is still very powerful and is capable of unleashing breaths of flame and beams of dark magic in addition to his giant and powerful body.
22. Red Eyes Black Dragon, 3.8
#Yugioh - A powerful and ferocious dragon whose entire body is covered in black with the exception of its red eyes. This dragon stands bipedally and is very strong, it can also unleash a breath of crimson flames. While it has quite the temper it is also rather intelligent.
23. Blue Eyes White Dragon, 4.8
#Yugioh - A dragon of the legends known as an engine of destruction. This dragon, while being very physically powerful with exceptional toughness, is also capable of unleashing a devastating lightning breath and capable of flying at fast speeds.
24. Cosmic Monolith, 7.1
#Epic Battle Fantasy - A floating black monolith with pulsing red circuitry-like engravings descending from the outer cosmos, it possesses potent space and reality-warping abilities. It can freely teleport and warp by expending energy and shooting giant beams of cosmic energy, warp space to tear apart enemies, dispel magic and create gigantic defensive barriers out of cosmic energy.
25. Slifer the Sky Dragon, 6.7
#Yugioh - A dragon god of the skies from Egypt, Slifer is a giant sky dragon with two mouths and immense strength, alongside his massive form and strength, Slifer can freely manipulate the weather and release breaths of lightning. In addition, Slifer can also magic and is immune to all effects below Legendary Rank(Not damage, just direct effects like curses) due to his nature as a god.
26. Evil Natural Water, 6.6
#One Punch Man - An amorphous blob of water that has a pair of eyes sitting around inside of it but the eyes are also just water and aren't weak points. This sentient puddle is very evil and is capable of sensing emotions. I can freely manipulate its body and any water it assimilates. I can freely assimilate all water it is in contact with. Including the world's oceans and its strength increase proportionally to how much water it absorbs. The only way to kill it is by scattering a majority of its body with one overwhelming blow or vaporising all of its water.
27. Sif, 2.8
#Dark Souls - The loyal companion of Artorias, Sif is a giant dog who also possesses immense experience in battle and is far more intelligent than the average dog.
28. Capra Demons, 2.2
#Dark Souls - A Capra Demon formed from Chaos, these demons are far larger and stronger than average humans and possess resistance to fire and unholy abilities. Depending on the amount of energy expended multiple Capra's can be summoned at once.
29. Taurus Demons, 3.1
#Dark Souls - a large truck-sized bull demon with super strength and durability formed by Chaos. Ordinary gunfire is almost useless against it and it can take down even military companies by itself. The more energy you have the more demons you can summon at once.
30. Sanctuary Guardian, 2.6
#Dark Souls - A chimeric beast with the enlarged body of a lion, four wings, horns like a ram, and a spiked scorpion tail that has deadly venom. It can also release lightning breaths and reproduce asexually by laying eggs.
31. Kalameet, 5.0
#Dark Souls - A descendant of the immortal Archdragons, Kalameet is the Black Dragon of Calamity that even the city of gods Anor Londo did not dare provoke. With obsidian scales tougher than metal, a breath of incinerating dark flames and a glowing orange crest on his forehead that can weaken and bring even the toughest of warriors to their knees.
32. Charizard, 2.5
#Pokemon - An oddly small bipedal salamander with wings(Not a dragon despite appearances), Charizard has considerable physical strength and is capable of unleashing breaths of incredibly hot flames as well as flying at fast speeds. This Charizard is female and capable of laying eggs, do not ask who the father is.
33. Aerodactyl, 2.7
#Pokemon - An ancient cross between a pterodactyl and a mountain, this giant lizard used to dominate the skies with its immense strength and geokinetic abilities.
34. Articuno, 4.1
#Pokemon - A legendary bird of ice that lives in the frozen with icy blue feathers. Articuno has potent cryokinetic abilities, being able to call blizzards, unleash ice beams, and freeze objects directly. But its durability is not as great as its cryokinetic abilities.
35. Moltres, 4.0
#Pokemon - A legendary bird of flame that is said to bring spring with its flaming wings. Moltres has potent prokinetic abilities, being able to rain down fire, control fire and breathe intense flames that can melt steel. But its physical abilities are not on par with its pyrokinetic abilities.
36. Zapdos, 4.0
#Pokemon - A legendary bird of lightning that often heralds the arrival of storms. Zapdos has potent electrokinetic abilities, being able to call down thunder from the skies, absorb lightning into itself and release lightning breath attacks.
37. Thunderbird, 4.3
#Hota - A thunderbird of legend, existing as the counterpart to the mythical Pheonix. It is capable of moving extremely quickly and controlling the weather, summoning rain and thunder down at will as well as being able to release it itself. She is a female and is capable of laying eggs, do not ask who the father is.
38. Wooper, 1.0
#Pokemon - A derpy-looking water creature. It can spray water from its mouth and is stronger than a human but otherwise, its greatest strength is its charming derpy look.
39. Gardevoir, 6.0
#Pokemon - A creature of unknown origin known for its embrace and it's empathy, Gardevoir possesses immense psychokinetic power, being able to distort dimensions, create miniature black holes, telepathy, telekinesis, and even read the future with enough training. Her power is at its utmost when she is protecting her owner.
40. Kyogre, 6.7
#Pokemon - A primordial god of the seas capable of unrivalled hydrokinetic abilities. Kyogre, in its base form alone, is strong enough to sink entire cities, and entire countries underwater over time. In her primal form, they can sink the entire landmass under in the span of an afternoon.
41. Groudon, 6.3
#Pokemon - A primordial god of the earth capable of unrivalled geokinetic abilities. Groudon in their base form alone, is strong enough to create entire islands beneath their feet and create kilometre-long precipe blades.  In their primal form, they can turn the entire planet into a desolate wasteland in a day.
42. Rayquaza, 6.7
#Pokemon - A primordial dragon god of the skies, with unrivalled speed, power and aerokinetic ability. Rayquaza, even in their base form can move at extreme speeds, change the weather, manipulate mighty winds to ravage the land and release blasts of pure draconic power. In their Mega form, they can destroy asteroids that can destroy the entire surface of the earth.
43. Garchomp, 3.7
#Pokemon - A large intimidating ground dragon with immense physical power, Garchomp can also manipulate the earth to cause earthquakes, fissures and blades of earth to erupt. And they can also somehow fly at Mach speeds.
44. Zoroark, 3.5
#Pokemon - A bipedal fox-like dark creature that is capable of manipulating dark energy to attack but its true ability lies in its mastery of illusions. Zoroark is capable of creating incredibly realistic illusions and transforming itself to indistinguishable degrees.  It can either make hundreds of people hallucinate or cast illusions with a very large range
45. Haspid, 4.1
#Hota - A giant venomous sea serpent larger than trade ships and poison breath strong enough to melt metals and bring gods to their knees. Haspids can also reproduce
46. Griffon, 2.4
#Hota - A mighty beast with the lower body of a lion and the upper body of a hawk and the size of an elephant. This mighty beast is incredibly ferocious but also very loyal. You get a pair of female and male that can mate and produce offspring.
47. Tohru, 7.4
#Kobayashi - A mighty female dragon that controls fire and can assume the form of a female humanoid, Tohru possess exceptional physical and magical abilities, being able to destroy the military of the base earth with ease. In addition to regeneration, she can also open portals, and use clairvoyance and invisibility. She also has the propensity to dress up as a maid.
48. Quetzalcoatl, 7.8
#Kobayashi - A former dragon god, now just a dragon of incomparable power, she prefers to go by the name of Lucoa and likes to tease people now instead of causing the end of humanity. She has incredible physical and magical power, being able to unleash breath attacks that annihilate entire islands, create portals and use magic.
49. The Golem Core, 3.6
#A sentient golem core the size of a basketball that can pull material from the surroundings to transform itself into a full golem, it can freely abandon and assimilate material into itself to make itself stronger and change its own shape depending on what is needed. The golem is intelligent and is capable of understanding speech and nuance.
50. Obsidian Gargoyles, 2.1
#Hota - Obsidian statues of Gargoyle's given life, these flying animated statues are deceptively fast, durable and strong. Being able to tear a grown man in half like they are paper and ignore small arms. You get a small army of these creatures, their numbers increase as you get stronger, starting at 5.
51. Unicorn, 4.2
#A unicorn of the myths, a creature that represents purity and clarity. This creature is capable of healing others and purifying objects with their horn, in addition, they are incredibly strong physically to the point where a modern military would be rendered ineffective. But only someone who retains their purity can ride a Unicorn. Otherwise, you're gonna have to attach a sled.
52. Leaf, 5.0
#Black Souls - "It's me~" The leader fairy from the Fairy Forest who specializes in wind and light magic as well as being able to heal and buff others. Totally not a sadomasochistic Outer God wearing the guise of a fairy, you don't have to worry about that.
53. Sacabambaspis, 0.1
#A stupid-looking ancient fish with no jaw and a permanent stupid-looking grin. It's also shaped like a stupid doorstop.
54. Dark Magician Girl, 4.3
#Yugioh - A spiritual magical girl who is the successor to the aptly named Dark Magician, she is capable of utilizing a variety of spells such as short-range portals, dark magic, basic attack and defensive magic etc.
55. Xenomorph, 4.0
#An apex predator from outer space that is much mightier than humans and known for their incredibly adaptive and reproductive ability. A single Xenomorph can create xenomorph hybrids by impregnating other races with face huggers. With just a single one you can create your own colony and army.
56. Sebas Tian, 5.5
#Overlord - He is one hell of a butler, oh wait, wrong Sebastian. Sebas is a Dragonoid Martial Artist/Monk with incredible physical stats and the ability to expertly use Ki and transform into his Dragonoid form. But before all of that, he is an incredibly competent and loyal Butler.
57. Soul Eater, 4.6
#Overlord - A legendary undead skeletal horse that strikes fear into those who know about it. The miasma around the Soul Eater can kill those who are weaker than it, anyone who dies near a Soul Eater have their souls claimed by it, Soul Eater can devour souls to replenish its stats and become stronger or offer them to their master. They also have formidable physical abilities and know how to use instinctive death magic. Death miasma and soul claiming can be toggled
58. Mosquito, 4.7
#One Punch Man - A bioengineered creature that resembles a humanoid female mosquito, she has formidable physical stats and exceptional speed to use with her claws. In addition, she can control all mosquitos in a massive range, she can also absorb blood to improve her physical abilities.
59. Jubjub, 4.2
#Black Souls - One of the Four Nightmares overseeing Wonderland, the garden of the Crawling Ones. Jub Jub has mighty physical abilities, she is also able to use basic magic but her main ability is being able to spread insanity and madness, being able to drive entire cities and countries to madness with her abilities, her madness inducement abilities are incredibly potent. Only those stronger than her or who have exceptional mental fortitude can resist.
60. Basilisk, 2.8
#Hota - A large reptile with 6 limbs and supernatural strength, being immune to conventional weapons and possessing the strength of 10 men. Basilisks have gazes and venom that can turn targets to stone, stronger a target is, the harder they are to petrify. Basilisks can reproduce asexually, at least this one can.
61. Mimic, 3.5
#A curious shapeshifting bloodthirsty creature, the Mimic can turn into the shape of any creature or object as well as being able to manipulate its texture and density. Being able to turn into a chest, or a woman with a large chest, or maybe even a mount. They also get larger and stronger the more you feed them flesh, especially human flesh, they may even get smarter if you feed them brains.
62. Dog, 0.1
#Any dog of your liking, once you summon the familiar for the first time, they take on the form of a canine that is compatible with you. The default is a golden retreiver with very soft fur.
63. Cat, 0.2
#Any cat of your liking, once you summon the familiar for the first time, they take on the form of a small feline that is compatible with you. The default is an orange cat with very soft fur.
64. Lion, 1.2
#A majestic lion companion, as a familiar they are a lion who has excellent genetics and near human intellect, and they are also large enough to ride. By default they are female.
65. Tiger, 1.3
#A ferocious tiger companion, as a familiar they are a tiger who has excellent genetics and near human intellect, and they are also large enough to ride. By default they are female.
66. Snow Tiger, 1.6
